p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.36611481578991	0.841	0.419	0	0	ENSMUSG00000020427.Igfbp3
0	1.86491655875077	0.773	0.354	0	0	ENSMUSG00000055254.Ntrk2
0	2.03428538746974	0.57	0.224	0	0	ENSMUSG00000046743.Fat4
0	1.46674150804871	0.69	0.345	0	0	ENSMUSG00000064294.Aox3
0	1.55416108530066	0.68	0.338	0	0	ENSMUSG00000031558.Slit2
0	1.48016838977777	0.593	0.253	0	0	ENSMUSG00000021943.Gdf10
0	1.62277153465517	0.723	0.389	0	0	ENSMUSG00000002265.Peg3
0	1.17825369870004	0.828	0.496	0	0	ENSMUSG00000023886.Smoc2
0	1.44178155644711	0.673	0.342	0	0	ENSMUSG00000025491.Ifitm1
0	1.56952948683275	0.543	0.224	0	0	ENSMUSG00000033544.Angptl1
0	1.38540896975017	0.707	0.393	0	0	ENSMUSG00000031825.Crispld2
0	0.990681564560439	0.759	0.455	0	0	ENSMUSG00000045573.Penk
0	1.19100801052105	0.589	0.286	0	0	ENSMUSG00000027996.Sfrp2
0	1.63243489987023	0.523	0.224	0	0	ENSMUSG00000005338.Cadm3
0	1.51964218891669	0.51	0.224	0	0	ENSMUSG00000036856.Wnt4
0	0.445960144642231	0.924	0.656	0	0	ENSMUSG00000030116.Mfap5
0	1.10099907610063	0.68	0.414	0	0	ENSMUSG00000022231.Sema5a
0	1.98743651889711	0.42	0.155	0	0	ENSMUSG00000034324.Tmem132c
0	1.3242008099574	0.505	0.245	0	0	ENSMUSG00000035493.Tgfbi
0	1.54123602478086	0.896	0.644	0	0	ENSMUSG00000041120.Nbl1
0	0.720496164077073	0.794	0.544	0	0	ENSMUSG00000022425.Enpp2
0	1.83036072726353	0.406	0.16	0	0	ENSMUSG00000028883.Sema3a
0	1.30861700908381	0.896	0.651	0	0	ENSMUSG00000038119.Cdon
0	1.30736339939088	0.577	0.332	0	0	ENSMUSG00000031561.Tenm3
0	0.625683675829191	0.723	0.489	0	0	ENSMUSG00000029675.Eln
0	1.00129964116699	0.723	0.49	0	0	ENSMUSG00000043719.Col6a6
0	2.20422086947357	0.328	0.098	0	0	ENSMUSG00000066392.Nrxn3
0	0.948718529238813	0.904	0.676	0	0	ENSMUSG00000028339.Col15a1
0	1.43520457635116	0.427	0.203	0	0	ENSMUSG00000028370.Pappa
0	1.12743792167769	0.706	0.482	0	0	ENSMUSG00000096054.Syne1
0	1.03748029802195	0.658	0.435	0	0	ENSMUSG00000037379.Spon2
0	0.844659288584764	0.759	0.537	0	0	ENSMUSG00000022032.Scara5
0	1.73955582307396	0.371	0.153	0	0	ENSMUSG00000102692.Dchs2
0	1.07294844084426	0.561	0.344	0	0	ENSMUSG00000032372.Plscr2
0	1.26617987332619	0.631	0.417	0	0	ENSMUSG00000041417.Pik3r1
0	2.31048192158316	0.299	0.085	0	0	ENSMUSG00000051379.Flrt3
0	1.11120582724371	0.535	0.324	0	0	ENSMUSG00000053199.Arhgap20
0	1.42831638398877	0.409	0.198	0	0	ENSMUSG00000019880.Rspo3
0	0.962121466516421	0.847	0.637	0	0	ENSMUSG00000038587.Akap12
0	1.02334346233851	0.61	0.402	0	0	ENSMUSG00000066113.Adamtsl1
0	1.85359871754421	0.322	0.118	0	0	ENSMUSG00000030495.Slc7a10
0	0.936851769360104	0.625	0.427	0	0	ENSMUSG00000047497.Adamts12
0	0.742922722858396	0.684	0.487	0	0	ENSMUSG00000016458.Wt1
0	0.766005597893322	0.711	0.515	0	0	ENSMUSG00000031239.Itm2a
0	0.44492075009433	0.925	0.731	0	0	ENSMUSG00000015568.Lpl
0	1.02908333733993	0.552	0.362	0	0	ENSMUSG00000020388.Pdlim4
0	1.204384612625	0.45	0.261	0	0	ENSMUSG00000062210.Tnfaip8
0	0.971270870989394	0.623	0.437	0	0	ENSMUSG00000033965.Slc16a2
0	0.975761277192878	0.684	0.501	0	0	ENSMUSG00000060572.Mfap2
0	0.871060267669278	0.773	0.594	0	0	ENSMUSG00000031538.Plat
0	1.44439807609809	0.341	0.162	0	0	ENSMUSG00000041482.Piezo2
0	1.67886337504642	0.272	0.103	0	0	ENSMUSG00000036381.P2ry14
0	1.14819831578011	0.936	0.767	0	0	ENSMUSG00000020053.Igf1
0	1.74990768183098	0.303	0.135	0	0	ENSMUSG00000024598.Fbn2
0	0.927640199336751	0.781	0.615	0	0	ENSMUSG00000027210.Meis2
0	1.67682898126984	0.296	0.131	0	0	ENSMUSG00000028664.Ephb2
