cluster_id	gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	comparison
Dpp4 Fibroblasts	ENSMUSG00000005397.Nid1	5.54925644133399e-09	0.180592138491657	0.983	0.986	0.000180778127089337	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000036402.Gng12	5.5819437387811e-09	0.366329309708785	0.568	0.496	0.000181842981178272	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000040147.Maob	5.68843405292533e-09	-0.878920284942611	0.088	0.15	0.000185312116142149	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000032060.Cryab	5.96294708627922e-09	0.174558384700134	0.281	0.197	0.000194254927229718	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000032959.Pebp1	6.19158584229282e-09	-0.247483579751286	0.721	0.783	0.000201703291984373	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000058624.Gda	7.12958899936562e-09	0.414116499963884	0.574	0.505	0.000232260620832334	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000036880.Acaa2	7.15756770634004e-09	-0.271136559121884	0.603	0.675	0.00023317208316944	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000028729.Ebna1bp2	7.19185287509624e-09	-0.394512358359433	0.347	0.425	0.00023428899111201	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000040128.Pnrc1	8.01903534480195e-09	-0.226733179233411	0.776	0.815	0.000261236114427613	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000039782.Cpeb2	8.19695898294257e-09	-0.595156985678607	0.108	0.176	0.00026703233278732	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000039220.Ppp1r10	8.32993317966243e-09	-0.476135449500611	0.348	0.426	0.000271364233193863	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000090272.Mndal	8.52730348975389e-09	0.471274987317498	0.613	0.547	0.000277793965785713	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000026234.Ncl	8.54197774000978e-09	-0.297182083548968	0.735	0.778	0.000278272008836298	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000023967.Mrps18a	8.63845845651421e-09	-0.360430993834967	0.47	0.546	0.000281415061137863	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000010095.Slc3a2	8.69041377238493e-09	-0.400534175996074	0.409	0.488	0.000283107609462984	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000052854.Nrk	9.31390997876201e-09	0.979908815049458	0.148	0.088	0.00030341924537813	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000024513.Mbd2	9.37104724185307e-09	-0.36407063972172	0.418	0.493	0.000305280605997848	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000027878.Notch2	9.8024738313741e-09	0.350779526188715	0.512	0.421	0.000319335190004674	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000034265.Zdhhc14	9.83979328369297e-09	0.689456918334999	0.119	0.064	0.000320550945802866	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000068290.Ddrgk1	1.02286556851433e-08	-0.333592463251626	0.492	0.566	0.000333218916254913	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000021771.Vdac2	1.15870397278454e-08	-0.268372759475075	0.578	0.646	0.000377470993214019	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000014867.Surf4	1.18870436162208e-08	0.309442285796737	0.63	0.561	0.000387244219885624	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000061751.Kalrn	1.19078829539812e-08	0.816454816876649	0.148	0.087	0.000387923102991846	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000050541.Adra1b	1.22846575439012e-08	-0.649278264383587	0.265	0.339	0.000400197288807671	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000074981.Dcdc5	1.27998183755632e-08	0.957057523265712	0.205	0.138	0.000416979683220722	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000063889.Crem	1.29489858116194e-08	-0.446974109028346	0.236	0.315	0.000421839110785124	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000036752.Tubb4b	1.35778132012752e-08	-0.352620318973399	0.553	0.622	0.000442324420657942	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000025066.Sfr1	1.37564695501505e-08	-0.248667553325673	0.762	0.825	0.000448144508535252	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000032348.Gsta4	1.5465698608132e-08	-0.485377745507199	0.081	0.143	0.000503826063557115	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000028024.Enpep	1.61318505546795e-08	-0.469036303918362	0.321	0.406	0.000525527295519793	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000031633.Slc25a4	1.73176327880671e-08	-0.187327164409721	0.851	0.884	0.000564156523336863	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000029223.Uchl1	1.76842664501722e-08	-0.760002622952447	0.086	0.146	0.000576100348147258	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000021087.Rtn1	1.79789050820752e-08	-0.461150868610481	0.147	0.223	0.000585698790858762	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000030717.Nupr1	1.84035090478877e-08	-0.232816440530608	0.874	0.894	0.000599531114253039	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000027832.Ptx3	1.87701510634635e-08	0.511167190359835	0.449	0.37	0.000611475211194451	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000087651.1500009L16Rik	1.94890021741924e-08	0.741805298499759	0.127	0.071	0.000634893223828665	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000106037.Gm4332	1.96795070407911e-08	-0.828989585778334	0.108	0.169	0.000641099300867851	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000037058.Paip2	2.07587886971669e-08	-0.2630558384906	0.681	0.737	0.000676259059387607	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000028108.Ecm1	2.0856258020299e-08	0.433446823220485	0.69	0.664	0.00067943431752728	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000001025.S100a6	2.0929631553468e-08	0.168876207658778	0.994	0.99	0.000681824607117327	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000025268.Maged2	2.09907549287557e-08	-0.414092443055924	0.517	0.58	0.000683815823314075	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000053199.Arhgap20	2.20948406507352e-08	-0.309703257414439	0.628	0.703	0.000719783623878999	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000024810.Il33	2.24358550268414e-08	-0.295535225356325	0.565	0.637	0.000730892849209411	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000052560.Cpne8	2.48312406513213e-08	-0.363454662272732	0.599	0.668	0.000808927326698094	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000060438.Rps10-ps1	2.48886861450848e-08	-0.568324378221851	0.222	0.296	0.000810798728548426	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000030744.Rps3	2.57803678283002e-08	-0.145457304660259	0.989	0.981	0.000839847042742535	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000017412.Cacnb4	2.69000563081713e-08	-0.917156199564847	0.082	0.139	0.000876323134351296	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000068551.Zfp467	2.70736151973472e-08	-0.781632600709979	0.078	0.135	0.00088197716228398	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000021760.Gpx8	2.71303869880557e-08	-0.220445404395291	0.677	0.741	0.000883826616909892	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000074578.Zfas1	2.78816803707622e-08	-0.389460948216257	0.376	0.457	0.000908301501438321	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000002504.Slc9a3r2	2.99669489225893e-08	-0.558876696078623	0.109	0.175	0.00097623329505119	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000060743.H3f3a	3.41670830026918e-08	-0.146425150077979	0.927	0.95	0.00111306106297869	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000071866.Ppia	3.47381365683178e-08	-0.139832775841744	0.984	0.984	0.00113166427498609	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000086429.Gt(ROSA)26Sor	3.60654163099793e-08	-0.88863852760511	0.099	0.156	0.0011749030671302	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000042485.Mustn1	3.69630867521619e-08	0.362611662107876	0.393	0.3	0.00120414647712518	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000106106.CT010467.1	3.78489845801843e-08	0.264136374950448	0.999	0.999	0.00123300637066867	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000021693.Kif2a	3.95285559579062e-08	-0.301424594258477	0.55	0.629	0.00128772176744071	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000048960.Prex2	3.98775363194583e-08	-0.809164026985039	0.126	0.191	0.00129909050067899	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000027940.Tpm3	4.09267278661807e-08	-0.320265885651808	0.552	0.618	0.00133327001369657	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000018500.Adora2b	4.34647083733543e-08	0.713779175764882	0.19	0.125	0.00141594980467876	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000108414.Snhg1	4.41283111486405e-08	-0.358380842929531	0.443	0.52	0.00143756799228926	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000079363.Gbp4	4.54756297134789e-08	1.32132236157202	0.125	0.073	0.001481459589176	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000031379.Pir	4.66140097686217e-08	-0.465478289359806	0.253	0.328	0.00151854459623239	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000030329.Pianp	4.85769310499139e-08	-0.31500221477995	0.306	0.387	0.00158249068281304	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000035242.Oaz1	4.90255239204665e-08	-0.135320822006912	0.949	0.958	0.00159710449275704	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000057098.Ebf1	5.07734609414714e-08	0.143485945321891	0.964	0.962	0.00165404703709031	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000028788.Ptp4a2	5.11562188447878e-08	0.261141218979652	0.728	0.712	0.00166651614130665	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000086709.Gm16263	5.11987360577543e-08	-0.630881400786399	0.052	0.101	0.00166790122455346	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000039206.Daglb	5.25380583840129e-08	0.657330769098256	0.277	0.202	0.00171153232797599	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000003072.Atp5d	5.64177630510292e-08	-0.197721712005783	0.788	0.827	0.00183792146691338	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000042190.Cmklr1	5.77566993028916e-08	-0.684531835855267	0.101	0.162	0.0018815399931903	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000044534.Ackr2	5.78465576384371e-08	0.498516048167675	0.26	0.184	0.00188446730818737	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000020063.Sirt1	6.13972863778572e-08	-0.484175073279583	0.181	0.253	0.00200013939833145	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000022285.Ywhaz	6.33404521228541e-08	0.229545386550034	0.81	0.778	0.00206344190880622	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000025498.Irf7	6.62917457267028e-08	0.664414552293906	0.263	0.192	0.0021595862005388	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000030315.Vgll4	6.6602562516776e-08	-0.467197083551505	0.276	0.35	0.00216971167910901	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000055782.Abcd2	6.9143370454439e-08	-0.619365246363152	0.115	0.178	0.00225248357929426	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000024538.Ppic	7.02255132309454e-08	0.320645494107054	0.702	0.692	0.00228773654452451	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000043629.1700019D03Rik	7.1096358083655e-08	0.486149661145806	0.386	0.31	0.00231610605729123	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000022257.Laptm4b	7.19307224828607e-08	0.722513730741774	0.12	0.068	0.00234328714632415	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000028496.Mllt3	7.52612313980921e-08	0.678560677752198	0.193	0.129	0.00245178513525565	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000047675.Rps8	7.60459684527941e-08	-0.105242535411945	0.997	0.993	0.00247734951428667	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000003032.Klf4	7.8992536883485e-08	-0.266015014358224	0.887	0.907	0.00257333987405329	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000014313.Cox6c	8.16614225769944e-08	0.169787208469624	0.942	0.937	0.00266028416329075	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000047793.Sned1	8.34242943771912e-08	-0.49039429138024	0.41	0.488	0.00271771323792576	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000051367.Six1	8.55203447879358e-08	-0.660651550264623	0.122	0.184	0.00278599627215659	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000074170.Plekhf1	8.95515246736602e-08	0.53328721396343	0.194	0.127	0.00291732001929383	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000039286.Fndc3b	8.99356812905207e-08	0.275694635336305	0.774	0.774	0.00292983468940129	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000056899.Immp2l	9.24179235119013e-08	-0.539300587018627	0.19	0.263	0.00301069869424721	Dpp4 Fibroblasts	TCRM vs LMC
Dpp4 Fibroblasts	ENSMUSG00000004105.Angptl2	9.34091356923311e-08	0.299383655410447	0.425	0.335	0.00304298941344907	Dpp4 Fibroblasts	TCRM vs LMC
